session_id,ip,user_agent,pages_visited,session_duration,avg_time_per_page,pages_per_min,timestamp
102fb0d5-177f-4686-ac99-703437681f82,127.0.0.1,Googlebot/2.1 (+http://www.google.com/bot.html),2,0.40799,0.40799,294.12485600137256,2026-03-20 12:29:16.588998
c7844679-8d60-44a8-b86a-e6c2e95b23bd,127.0.0.1,Googlebot/2.1 (+http://www.google.com/bot.html),2,0.518918,0.518918,231.25040950593353,2026-03-20 12:29:34.658969
eecb6fbf-2c79-4b82-b47a-f8bcdd8f86db,127.0.0.1,Googlebot/2.1 (+http://www.google.com/bot.html),2,0.762643,0.762643,157.34754006789547,2026-03-20 12:29:40.450361
e941d000-ce82-42d0-be58-63b85fe13639,127.0.0.1,Googlebot/2.1 (+http://www.google.com/bot.html),2,0.1,0.1,1200.0,2026-03-20 12:38:45.068205
0d7ad69c-3f79-4056-8f72-c69b231050fb,127.0.0.1,Googlebot/2.1 (+http://www.google.com/bot.html),2,0.263901,0.263901,454.7159730353428,2026-03-20 12:38:46.592731
c3bcd1f4-4d0a-4599-b98d-4a759eae97b1,127.0.0.1,Googlebot/2.1 (+http://www.google.com/bot.html),2,0.415668,0.415668,288.6919368342042,2026-03-20 12:38:53.976519
036f2db3-b074-4bca-ae63-089102f2786c,127.0.0.1,Googlebot/2.1 (+http://www.google.com/bot.html),2,0.140067,0.140067,856.7328492792734,2026-03-20 12:38:57.972852
4dc04ba2-b146-4546-8b47-78ee8f885e4a,127.0.0.1,Googlebot/2.1 (+http://www.google.com/bot.html),2,0.561588,0.561588,213.67977948246758,2026-03-20 12:39:00.474949
cc78a74a-d719-424d-92df-928efd04f9c9,127.0.0.1,Googlebot/2.1 (+http://www.google.com/bot.html),2,0.432859,0.432859,277.2265333515071,2026-03-20 12:45:53.589985
5c911437-19ac-496a-9368-296d520300a2,127.0.0.1,Googlebot/2.1 (+http://www.google.com/bot.html),2,0.450471,0.450471,266.38784738640226,2026-03-20 12:45:59.308458
fee39dd3-428a-4932-8272-bc4b77e9c8c9,127.0.0.1,Googlebot/2.1 (+http://www.google.com/bot.html),2,0.382382,0.382382,313.82230335109915,2026-03-20 12:55:33.666932
