session_id,pages_visited,session_duration,avg_time_per_page,pages_per_min,unique_pages,repeat_ratio,request_interval_mean,request_interval_std,ua_flag,label
0022ceff-b22c-4662-b24e-01ab3b28381b,6,5,1.0,72.0,5,0.16666666666666663,0.2,0.4000000000000001,1,1
0243579b-98be-4998-86d5-d2f568f30c1c,6,11,2.2,32.72727272727273,4,0.33333333333333337,2.2,0.39999999999999997,0,0
02d979cc-5f32-4795-a42d-02b7ca8440b2,6,5,1.0,72.0,5,0.16666666666666663,0.0,0.0,1,1
033e2d20-9b3d-4a54-b7de-ea2468047f21,3,5,2.5,36.0,3,0.0,1.5,0.5,0,0
036f2db3-b074-4bca-ae63-089102f2786c,8,5,0.7142857142857143,96.0,5,0.375,0.14285714285714285,0.34992710611188266,1,1
05690bbe-dd2c-4d59-bc30-b00ffddcf719,6,9,1.8,40.0,4,0.33333333333333337,1.8,0.4000000000000001,0,0
063fb0ee-1787-4b63-875c-b017803b48d8,12,5,0.45454545454545453,144.0,5,0.5833333333333333,0.18181818181818182,0.385694607919935,1,1
0680c3ee-5d99-4dd6-81d6-890792c80af0,4,6,2.0,40.0,3,0.25,2.0,0.0,0,0
069003f7-0331-4180-af8c-24d3152cc9d2,3,5,2.5,36.0,3,0.0,2.0,0.0,0,0
096590d8-7c9c-420f-bfa6-7ad68cc89371,11,5,0.5,132.0,5,0.5454545454545454,0.5,0.5,1,1
09c999d1-dad2-4024-8335-33e67366dfdc,10,5,0.5555555555555556,120.0,5,0.5,0.4444444444444444,0.4969039949999533,1,1
09f613a8-838d-4751-a49f-3a9f17c2d817,6,13,2.6,27.692307692307693,4,0.33333333333333337,2.6,0.4898979485566356,0,0
0d7ad69c-3f79-4056-8f72-c69b231050fb,4,5,1.6666666666666667,48.0,4,0.0,0.3333333333333333,0.4714045207910317,1,1
0dd7b8b9-9fc1-4f9f-b39a-5f27ced9d132,5,9,2.25,33.333333333333336,4,0.19999999999999996,2.25,0.82915619758885,0,0
0e079d48-e88a-4d2a-a993-d9b30e3a4b82,8,15,2.142857142857143,32.0,4,0.5,2.142857142857143,0.6388765649999398,0,0
0f816af2-3acd-42dc-810e-eb752718aa3c,5,5,1.25,60.0,4,0.19999999999999996,1.25,0.4330127018922193,0,0
0fc35aa2-3937-4bf1-9308-9d8141490de7,5,9,2.25,33.333333333333336,4,0.19999999999999996,2.25,0.82915619758885,0,0
